Sample,motu,rel_ab,Present,Prevalence_num,Prevalence,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sample_type,Collection_date,Location,Hive_origin,Number_guts,Number_scabs,Tube_mass,Tube_gut_mass,Gut_mass,Average_gut_mass,RNA_concentration,DNA_concentration,delta_CT,Comments,volume for 300 ng RNA (ul),V17,DNA_yield,RNA_yield,unmapped_perc
F12,ext_mOTU_v3_16148,0.2119215575,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,ext_mOTU_v3_16155,0.1659169605,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,unassigned,0.1277484638,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F13,ref_mOTU_v3_00077,0.0246236764,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacter,s__ Enterobacter sp. [Enterobacter asburiae/Enterobacter bugandensis/Enterobacter cancerogenus/Enterobacter chengduensis/Enterobacter cloacae/Enterobacter genomosp. O/Enterobacter genomosp. S/Enterobacter hormaechei/Enterobacter kobei/Enterobacter ludwigii/Enterobacter roggenkampii/Enterobacter sichuanensis/Enterobacter sp. 50588862/Enterobacter sp. 50793107/Enterobacter sp. 50858885/Enterobacter sp. 56-7/Enterobacter sp. 940_PEND/Enterobacter sp. BIDMC 26/Enterobacter sp. BIDMC 27/Enterobacter sp. BIDMC 28/Enterobacter sp. BIDMC 30/Enterobacter sp. BIDMC100/Enterobacter sp. BIDMC109/Enterobacter sp. BIDMC87/Enterobacter sp. BIDMC92/Enterobacter sp. BIDMC93/Enterobacter sp. BIDMC94/Enterobacter sp. BIDMC99/Enterobacter sp. BWH 37/Enterobacter sp. BWH52/Enterobacter sp. BWH63/Enterobacter sp. BWH64/Enterobacter sp. DC1/Enterobacter sp. DC3/Enterobacter sp. DC4/Enterobacter sp. E20/Enterobacter sp. EGD-HP1/Enterobacter sp. HK169/Enterobacter sp. HMSC16D10/Enterobacter sp. IF2SW-P2/Enterobacter sp. J49/Enterobacter sp. K66-74/Enterobacter sp. ku-bf2/Enterobacter sp. MGH 1/Enterobacter sp. MGH 10/Enterobacter sp. MGH 14/Enterobacter sp. MGH 15/Enterobacter sp. MGH 22/Enterobacter sp. MGH 23/Enterobacter sp. MGH 24/Enterobacter sp. MGH 25/Enterobacter sp. MGH 3/Enterobacter sp. MGH 33/Enterobacter sp. MGH 37/Enterobacter sp. MGH 38/Enterobacter sp. MGH 6/Enterobacter sp. MGH 7/Enterobacter sp. MGH119/Enterobacter sp. MGH120/Enterobacter sp. MGH128/Enterobacter sp. NFIX45/Enterobacter sp. NFIX58/Enterobacter sp. NFIX59/Enterobacter sp. ODB01/Enterobacter sp. PDC34/Enterobacter sp. SENG-6/Enterobacter sp. ST121:950178628/Enterobacter sp. T1-1/Enterobacter sp. UCD-UG_FMILLET/Escherichia coli/Klebsiella aerogenes/Klebsiella oxytoca/Leclercia adecarboxylata/Leclercia sp. LK8/Lelliottia amnigena/Lelliottia nimipressuralis/Pantoea sesami/Pedobacter himalayensis],Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ref_mOTU_v3_05086,0.0120472092,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ref_mOTU_v3_08304,0.0103030139,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ext_mOTU_v3_16145,0.0961159926,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ext_mOTU_v3_16147,0.0367234973,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ext_mOTU_v3_16148,0.1364402162,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ext_mOTU_v3_16155,0.1403302395,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,ext_mOTU_v3_24917,0.0878664762,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacteriaceae gen. incertae sedis,s__Enterobacteriaceae species incertae sedis,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F13,unassigned,0.4353623735,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,06.08.19,Cugy,Cugy 3,10,5,2.1616,2.2724,0.1108,0.01108,222,74.1,9.710712,,1.351,NA,4446,13320,20 %
F14,ref_mOTU_v3_00063,0.011366778,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacteriaceae gen. [Kosakonia/Enterobacter],s__Enterobacteriaceae sp. [Kosakonia cowanii/Enterobacter cloacae],Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F14,ext_mOTU_v3_16145,0.074283414,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F14,ext_mOTU_v3_16147,0.100583258,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F14,ext_mOTU_v3_16148,0.424957707,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F14,ext_mOTU_v3_16155,0.069020642,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F14,unassigned,0.297052173,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,27.08.2019,Vesancy,Jaune,20,12,1.8473,2.0263,0.179,0.00895,229,68.5,7.115931,,1.31,NA,4110,13740,8 %
F15,ref_mOTU_v3_08304,0.016571825,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F15,ext_mOTU_v3_16145,0.317477743,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F15,ext_mOTU_v3_16147,0.070043108,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F15,ext_mOTU_v3_16148,0.306575482,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F15,ext_mOTU_v3_16155,0.264781088,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F15,unassigned,0.017184233,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,27.08.2019,Vesancy,Vert,20,9,1.9002,2.0512,0.151,0.00755,275,73.4,7.102876,,1.091,NA,4404,16500,4 %
F16,ext_mOTU_v3_16145,0.260264171,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,27.08.2019,Vesancy,Bleu,20,8,1.9742,2.1384,0.1642,0.00821,245,76.1,7.62352,,1.224,NA,4566,14700,7 %
F16,ext_mOTU_v3_16147,0.035206307,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,27.08.2019,Vesancy,Bleu,20,8,1.9742,2.1384,0.1642,0.00821,245,76.1,7.62352,,1.224,NA,4566,14700,7 %
F16,ext_mOTU_v3_16148,0.266462282,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,27.08.2019,Vesancy,Bleu,20,8,1.9742,2.1384,0.1642,0.00821,245,76.1,7.62352,,1.224,NA,4566,14700,7 %
F16,ext_mOTU_v3_16155,0.281531659,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,27.08.2019,Vesancy,Bleu,20,8,1.9742,2.1384,0.1642,0.00821,245,76.1,7.62352,,1.224,NA,4566,14700,7 %
F16,unassigned,0.147832373,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,27.08.2019,Vesancy,Bleu,20,8,1.9742,2.1384,0.1642,0.00821,245,76.1,7.62352,,1.224,NA,4566,14700,7 %
N01,ref_mOTU_v3_00068,0.013368048,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacter,s__Enterobacter kobei [Enterobacter sp. SA187/Enterobacter kobei],Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,ref_mOTU_v3_01848,0.026221957,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Pantoea,s__Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis],Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,ref_mOTU_v3_08304,0.192499892,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,ext_mOTU_v3_16147,0.023991309,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,ext_mOTU_v3_16148,0.019152356,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,ext_mOTU_v3_16155,0.622084516,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N01,unassigned,0.078188255,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Nurses,25.06.19,UNIL,Tom 4,19,10,2.1361,2.6033,0.4672,0.024589474,131.4,50.7,9.430372,,2.283,NA,3042,7884,16 %
N02,ref_mOTU_v3_00063,0.012979563,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacteriaceae gen. [Kosakonia/Enterobacter],s__Enterobacteriaceae sp. [Kosakonia cowanii/Enterobacter cloacae],Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_00083,0.010026032,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Pluralibacter,s__[Enterobacter] lignolyticus,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_00829,0.018676278,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,Serratia,s__Serratia symbiotica,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_01722,0.038354023,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,Lonsdalea,s__Lonsdalea britannica,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_01846,0.019036211,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Pantoea,s__Pantoea brenneri/conspicua [Pantoea sp. 3.5.1/Pantoea brenneri/Pantoea conspicua],Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_01848,0.020173763,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Pantoea,s__Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis],Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_05086,0.012060392,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ref_mOTU_v3_08304,0.29421072,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ext_mOTU_v3_16147,0.026864573,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ext_mOTU_v3_16155,0.325665597,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,ext_mOTU_v3_26560,0.018871395,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Citrobacter,s__Citrobacter species incertae sedis,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N02,unassigned,0.188984422,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Nurses,25.06.19,UNIL,Dent de Morcles,18,7,2.1366,2.6733,0.5367,0.029816667,95.4,40.7,9.279872,,3.145,NA,2442,5724,19 %
N03,ref_mOTU_v3_01848,0.010759932,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,Pantoea,s__Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis],Nurses,25.06.19,UNIL,Cornettes de Bises,20,9,2.1417,2.8031,0.6614,0.03307,90,28.2,9.270708,,3.333,NA,1692,5400,15 %
N03,ref_mOTU_v3_05086,0.016516037,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Nurses,25.06.19,UNIL,Cornettes de Bises,20,9,2.1417,2.8031,0.6614,0.03307,90,28.2,9.270708,,3.333,NA,1692,5400,15 %
N03,ref_mOTU_v3_08304,0.12160187,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Nurses,25.06.19,UNIL,Cornettes de Bises,20,9,2.1417,2.8031,0.6614,0.03307,90,28.2,9.270708,,3.333,NA,1692,5400,15 %
N03,ext_mOTU_v3_16155,0.626158283,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Nurses,25.06.19,UNIL,Cornettes de Bises,20,9,2.1417,2.8031,0.6614,0.03307,90,28.2,9.270708,,3.333,NA,1692,5400,15 %
N03,unassigned,0.186095793,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Nurses,25.06.19,UNIL,Cornettes de Bises,20,9,2.1417,2.8031,0.6614,0.03307,90,28.2,9.270708,,3.333,NA,1692,5400,15 %
N04,ref_mOTU_v3_00077,0.021972116,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacter,s__ Enterobacter sp. [Enterobacter asburiae/Enterobacter bugandensis/Enterobacter cancerogenus/Enterobacter chengduensis/Enterobacter cloacae/Enterobacter genomosp. O/Enterobacter genomosp. S/Enterobacter hormaechei/Enterobacter kobei/Enterobacter ludwigii/Enterobacter roggenkampii/Enterobacter sichuanensis/Enterobacter sp. 50588862/Enterobacter sp. 50793107/Enterobacter sp. 50858885/Enterobacter sp. 56-7/Enterobacter sp. 940_PEND/Enterobacter sp. BIDMC 26/Enterobacter sp. BIDMC 27/Enterobacter sp. BIDMC 28/Enterobacter sp. BIDMC 30/Enterobacter sp. BIDMC100/Enterobacter sp. BIDMC109/Enterobacter sp. BIDMC87/Enterobacter sp. BIDMC92/Enterobacter sp. BIDMC93/Enterobacter sp. BIDMC94/Enterobacter sp. BIDMC99/Enterobacter sp. BWH 37/Enterobacter sp. BWH52/Enterobacter sp. BWH63/Enterobacter sp. BWH64/Enterobacter sp. DC1/Enterobacter sp. DC3/Enterobacter sp. DC4/Enterobacter sp. E20/Enterobacter sp. EGD-HP1/Enterobacter sp. HK169/Enterobacter sp. HMSC16D10/Enterobacter sp. IF2SW-P2/Enterobacter sp. J49/Enterobacter sp. K66-74/Enterobacter sp. ku-bf2/Enterobacter sp. MGH 1/Enterobacter sp. MGH 10/Enterobacter sp. MGH 14/Enterobacter sp. MGH 15/Enterobacter sp. MGH 22/Enterobacter sp. MGH 23/Enterobacter sp. MGH 24/Enterobacter sp. MGH 25/Enterobacter sp. MGH 3/Enterobacter sp. MGH 33/Enterobacter sp. MGH 37/Enterobacter sp. MGH 38/Enterobacter sp. MGH 6/Enterobacter sp. MGH 7/Enterobacter sp. MGH119/Enterobacter sp. MGH120/Enterobacter sp. MGH128/Enterobacter sp. NFIX45/Enterobacter sp. NFIX58/Enterobacter sp. NFIX59/Enterobacter sp. ODB01/Enterobacter sp. PDC34/Enterobacter sp. SENG-6/Enterobacter sp. ST121:950178628/Enterobacter sp. T1-1/Enterobacter sp. UCD-UG_FMILLET/Escherichia coli/Klebsiella aerogenes/Klebsiella oxytoca/Leclercia adecarboxylata/Leclercia sp. LK8/Lelliottia amnigena/Lelliottia nimipressuralis/Pantoea sesami/Pedobacter himalayensis],Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_00084,0.052292491,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Klebsiella,s__Klebsiella aerogenes,Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_00085,0.264856219,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Klebsiella,s__Klebsiella pneumoniae,Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_00086,0.11190135,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Klebsiella,s__Klebsiella michiganensis/oxytoca [Klebsiella michiganensis/Proteus sp. HMSC10D02/Enterobacter sp. HMSC055A11/Klebsiella sp. LTGPAF-6F/Klebsiella sp. M5al/Klebsiella oxytoca/Klebsiella sp. AS10/Klebsiella sp. OBRC7],Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_00096,0.117459567,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Citrobacter,s__ Citrobacter sp. [Citrobacter amalonaticus/Citrobacter braakii/Citrobacter freundii/Citrobacter pasteurii/Citrobacter portucalensis/Citrobacter sp. A1/Citrobacter sp. A316/Citrobacter sp. AATXQ/Citrobacter sp. AATXR/Citrobacter sp. BIDMC107/Citrobacter sp. BIDMC108/Citrobacter sp. CFSAN044567/Citrobacter sp. FDAARGOS_156/Citrobacter sp. KTE151/Citrobacter sp. KTE30/Citrobacter sp. KTE32/Citrobacter sp. L17/Citrobacter sp. MGH100/Citrobacter sp. MGH103/Citrobacter sp. MGH104/Citrobacter sp. MGH105/Citrobacter sp. MGH109/Citrobacter sp. MGH110/Citrobacter sp. MGH99/Citrobacter werkmanii/Citrobacter youngae/Enterobacter cloacae/Enterobacter sp. GN02600/Escherichia coli/Salmonella enterica],Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_05086,0.091037682,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ref_mOTU_v3_08304,0.037838243,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
N04,ext_mOTU_v3_16145,0.011226963,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Nurses,26.07.19,Liebefeld,Liebefeld 1,20,13,2.1505,2.6582,0.5077,0.025385,268,84.4,10.93664,,1.119,NA,5064,16080,11 %
